Antrenor;Toplam;Birinci;Ikinci;Ucuncu;Kazanma_Yuzde;Ilk3_Yuzde
E.ACER;92;11;14;14;11.96;42.39
O.AKTAŞ;92;11;16;8;11.96;38.04
Ö.GÜNDÜZ;91;4;7;8;4.4;20.88
M.H.ELĞAÇ;91;18;10;10;19.78;41.76
M.A.ÇİÇEK;91;8;11;5;8.79;26.37
Y.TAŞKIN;90;11;8;14;12.22;36.67
A.IŞIK;90;9;6;10;10.0;27.78
S.KULAK;90;10;4;4;11.11;20.0
M.M.İNAL;89;10;12;8;11.24;33.71
E.AKYAVUZ;88;12;13;14;13.64;44.32
O.TAŞDEMİR;87;14;4;3;16.09;24.14
İ.TEMEL;87;18;10;9;20.69;42.53
Z.GÜNELİ;86;8;8;11;9.3;31.4
A.KARAKUŞ;86;5;5;7;5.81;19.77
F.SERİNTÜRK;86;11;17;9;12.79;43.02
G.DÜŞÜNCELİ;86;8;8;5;9.3;24.42
Ş.OLĞAÇ;85;6;4;3;7.06;15.29
R.BARMAN;84;6;7;7;7.14;23.81
M.ÖRTÜNÇ;84;10;11;15;11.9;42.86
M.BULUT;84;10;10;3;11.9;27.38
G.ŞİMŞEK;84;14;15;5;16.67;40.48
YUS.KAYA;83;5;10;9;6.02;28.92
AB.AKIL;83;8;14;5;9.64;32.53
R.KONUK;83;6;9;9;7.23;28.92
İ.TURAN;81;4;6;9;4.94;23.46
M.KARACA;81;7;3;4;8.64;17.28
SEY.DEMİR;81;17;9;8;20.99;41.98
N.YILDIRIM;80;3;8;4;3.75;18.75
M.U.TURAN;80;7;8;8;8.75;28.75
Y.ARHIM;79;9;15;4;11.39;35.44
Y.AKBULUT;78;10;7;13;12.82;38.46
A.ÖZDENİZ;78;15;9;4;19.23;35.9
A.TEKDEMİR;77;1;6;4;1.3;14.29
BAH.GÖK;77;14;10;11;18.18;45.45
M.BARCİN;77;3;4;6;3.9;16.88
Z.TURĞUL;76;8;7;5;10.53;26.32
B.ŞİMŞEK;76;10;9;10;13.16;38.16
O.ÖZEL;76;13;14;7;17.11;44.74
R.SUNA;75;12;12;14;16.0;50.67
C.ŞAHİN;75;7;5;4;9.33;21.33
B.İLVAN;74;10;13;4;13.51;36.49
K.TURAN;74;6;9;6;8.11;28.38
M.A.PAKEL;73;2;3;3;2.74;10.96
A.POLAT;73;12;10;11;16.44;45.21
K.S.MUCUR;73;4;7;11;5.48;30.14
M.GÜNEŞ;72;6;4;2;8.33;16.67
MÜC.KAYA;72;4;5;10;5.56;26.39
B.ÇELTİK;72;12;6;6;16.67;33.33
C.GÜNEŞ;72;8;9;5;11.11;30.56
N.ESEN;71;16;12;12;22.54;56.34
C.ŞİMŞEK;71;6;9;7;8.45;30.99
HAK.POLAT;71;12;3;7;16.9;30.99
S.ALTUNDAĞ;71;2;4;7;2.82;18.31
M.ÖCAL;70;4;5;6;5.71;21.43
MÜS.YARDIMCI;70;8;4;8;11.43;28.57
İ.ÇAK;70;8;10;6;11.43;34.29
C.BATUR;70;3;5;5;4.29;18.57
Ö.F.TAN;70;7;6;7;10.0;28.57
SER.GÖKÇE;70;7;8;7;10.0;31.43
A.R.AYDIN;69;6;7;6;8.7;27.54
M.MEHMET İNAL;69;6;8;6;8.7;28.99
H.KABUKCI;68;7;9;10;10.29;38.24
İ.ALP.TAMER;68;3;5;6;4.41;20.59
MEH.DEMİR;67;13;9;10;19.4;47.76
T.BARDAKCI;67;9;9;5;13.43;34.33
H.GÜNEY;67;4;5;8;5.97;25.37
M.ALİ KAYA;67;8;11;7;11.94;38.81
E.ATEŞ;66;3;13;7;4.55;34.85
D.TEKELİ;66;9;10;7;13.64;39.39
TU.TURAN;65;2;5;8;3.08;23.08
MUR.DOĞAN;65;12;4;5;18.46;32.31
