At_Ismi;Toplam;Birinci;Ikinci;Ucuncu;Kazanma_Yuzde;Ilk3_Yuzde
DALYA LİNA KG DB SK;1;0;0;0;0.0;0.0
ORAK REİS SKG SK;1;0;0;0;0.0;0.0
FESTIVAL BOUND K;1;0;0;0;0.0;0.0
ATILIMHANIM KG K;1;1;0;0;100.0;100.0
ERAFŞAR KG;1;0;1;0;0.0;100.0
TEKNİKTAKTİK KG K DB;1;0;0;1;0.0;100.0
ABANOZ KG DB;1;0;0;0;0.0;0.0
PAMİRALP KG K;1;0;0;0;0.0;0.0
FIRTINA BİÇEN KG DB SK;1;0;0;0;0.0;0.0
GÜZELÇAMLI KG DB SK;1;0;0;0;0.0;0.0
ŞAH VEYSİ;1;0;0;0;0.0;0.0
DEMİRKAAN SKG SK;1;0;0;0;0.0;0.0
YAĞIZSOY KG K;1;0;0;0;0.0;0.0
DEVRİ EFSANE KG K (Koşmaz);1;0;0;0;0.0;0.0
AYZIT (Koşmaz);1;0;0;0;0.0;0.0
SUPER BERK DB SKG SK;1;1;0;0;100.0;100.0
MONUMENTAL KG DB SK;1;0;1;0;0.0;100.0
DESERT POINT KG K DB;1;0;0;1;0.0;100.0
KAVALA GÜCÜ DB SK;1;0;0;0;0.0;0.0
ERKOÇUM DB SK;1;0;0;0;0.0;0.0
SENKRON KG K;1;0;0;0;0.0;0.0
DİDİ LAZİ DB SK (Koşmaz);1;0;0;0;0.0;0.0
ANZAKLI KG DB;1;0;0;0;0.0;0.0
MIDNIGHT BOURBON DB SKG SK (Koşmaz);1;0;0;0;0.0;0.0
SUICIDE KING KG SK (Koşmaz);1;0;0;0;0.0;0.0
CANMETE KG DB;1;1;0;0;100.0;100.0
MUZATCAN KG K DB;1;0;1;0;0.0;100.0
GÖREME BEYİ KG K GKR;1;0;0;1;0.0;100.0
CANASİLİM KG K DB;1;0;0;0;0.0;0.0
KAŞEMUM KARA KG DB SK GKR;1;0;0;0;0.0;0.0
EL FURAT K;1;0;0;0;0.0;0.0
YAŞARSERAP KG K DB;1;0;0;0;0.0;0.0
ZAGROS ASLANI KG DB;1;0;0;0;0.0;0.0
BÜYÜK MENDERES KG DB;1;0;0;0;0.0;0.0
KARACAHİSAR KG DB;1;0;0;0;0.0;0.0
ATILIMBEYİ KG DB SK (Koşmaz);1;0;0;0;0.0;0.0
TARÇINKIZ DB SK (Koşmaz);1;0;0;0;0.0;0.0
GRAND MISSION KG DB;1;1;0;0;100.0;100.0
ÇİKOK AĞA KG K DB GKR;1;0;1;0;0.0;100.0
KING BORA DB SKG SK;1;0;0;1;0.0;100.0
STELLA GIRL K DB;1;0;0;0;0.0;0.0
İSPANOZ KG K;1;0;0;0;0.0;0.0
WOLF OF PROTI K DB (Koşmaz);1;0;0;0;0.0;0.0
ÖZTATMAR KG K;1;1;0;0;100.0;100.0
HULUSİBEY KG SK;1;0;1;0;0.0;100.0
ÖNALTAY KG K;1;0;0;1;0.0;100.0
SARAYTAY KG K;1;0;0;0;0.0;0.0
ASİLBULUT KG K;1;0;0;0;0.0;0.0
DOMANİÇ BEYİ KG SK;1;0;0;0;0.0;0.0
NARENKA K;1;0;0;0;0.0;0.0
DOSTBAŞAR KG K;1;0;0;0;0.0;0.0
LAVEKAR KG K;1;0;0;0;0.0;0.0
MİNELTAY KG SK;1;0;0;0;0.0;0.0
SERT GÖZ SK;1;0;0;0;0.0;0.0
BİTTER ÇİKOLATA KG DB SK (Koşmaz);1;0;0;0;0.0;0.0
GARİPLERBEYİ KG DB SK;1;1;0;0;100.0;100.0
MADEİRA KG K DB;1;0;1;0;0.0;100.0
BİBA AĞA KG K DB GKR;1;0;0;1;0.0;100.0
NUMANIM KG DB SK;1;0;0;0;0.0;0.0
HUSREV KG SK;1;0;0;0;0.0;0.0
KOCATEPE KG K GKR;1;0;0;0;0.0;0.0
ŞİFNE EFESİ DB SK;1;0;0;0;0.0;0.0
ŞEHNAZ LONGA KG K DB GKR;1;0;0;0;0.0;0.0
AFŞINTAY KG;1;0;0;0;0.0;0.0
ASIL OĞUL KG DB SK;1;0;0;0;0.0;0.0
COŞDUR DB SKG SK;1;0;0;0;0.0;0.0
GÖRKEMLİDAĞ KG K;1;0;0;0;0.0;0.0
BEDİZ DE FAUST DB SKG SK;1;0;0;0;0.0;0.0
SALUKİ KG K DB;1;0;0;0;0.0;0.0
SAFDERUN OĞLU KG DB SK GKR;1;0;0;0;0.0;0.0
SAADINSOYU KG DB SK;1;0;0;0;0.0;0.0
KORHANBEY KG DB;1;0;0;0;0.0;0.0
AYDINEFESİ KG K;1;0;0;0;0.0;0.0
YEŞİL ADA KG SK;1;1;0;0;100.0;100.0
YAMAN ÖZGE SK;1;0;1;0;0.0;100.0
QUEEN HANIM KG K;1;0;0;1;0.0;100.0
HOŞBAKIŞ KG;1;0;0;0;0.0;0.0
ÇİLDUTAY SK;1;0;0;0;0.0;0.0
BALTIMORE KG K;1;0;0;0;0.0;0.0
ELİTEZ K;1;0;0;0;0.0;0.0
ÖZGÜNDEN KG K;1;0;0;0;0.0;0.0
SULTANSU SK;1;0;0;0;0.0;0.0
BALTANKIZ KG K;1;0;0;0;0.0;0.0
KONÇİÇEK SK;1;0;0;0;0.0;0.0
IRMAĞIN GÜLÜ KG DB SK;1;0;0;0;0.0;0.0
GELEVRİ KIZ KG K DB;1;0;0;0;0.0;0.0
LAND OF LEGENDS KG K;1;1;0;0;100.0;100.0
TOGARMA DB SK;1;0;1;0;0.0;100.0
RAYMOND BABBITT K;1;0;0;1;0.0;100.0
MAKİNİST SKG SK;1;0;0;0;0.0;0.0
KADIKÖY BOĞASI;1;0;0;0;0.0;0.0
HİDAN KG K;1;0;0;0;0.0;0.0
ANGEL OF TIME K;1;0;0;0;0.0;0.0
ROYAL TOUCH K DB;1;0;0;0;0.0;0.0
BOLD STEPS SK;1;0;0;0;0.0;0.0
FENGBAO SKG SK;1;0;0;0;0.0;0.0
WADRON;1;0;0;0;0.0;0.0
GAME SAVER KG;1;1;0;0;100.0;100.0
ŞAFAKATEŞ DB SKG SK;1;0;1;0;0.0;100.0
VICTOR THE BRAVE KG K;1;0;0;1;0.0;100.0
ALAMETİ FARİKA K DB;1;0;0;0;0.0;0.0
MR HERMES DB SKG SK;1;0;0;0;0.0;0.0
ZYRA KG SK;1;0;0;0;0.0;0.0
İMPARATOR BİYEDİÇ KG;1;0;0;0;0.0;0.0
DONE THIS DB SK;1;0;0;0;0.0;0.0
YEŞİLKÖYLÜ KG K;1;1;0;0;100.0;100.0
ÇELİK ABİ KG DB SK;1;0;1;0;0.0;100.0
TAYKUTAY KG DB SK;1;0;0;1;0.0;100.0
KÜÇÜKCEVER K;1;0;0;0;0.0;0.0
GÜLALP KIZI DB SK;1;0;0;0;0.0;0.0
İNZİBAT KG SK;1;0;0;0;0.0;0.0
ATARTAY KG GKR;1;0;0;0;0.0;0.0
GAZNELİ KG K DB;1;0;0;0;0.0;0.0
ERSELEFE KG DB SK;1;0;0;0;0.0;0.0
DENİZİM GÜLÜ KG DB SK;1;0;0;0;0.0;0.0
AYTEKİNBEY KG SK;1;0;0;0;0.0;0.0
ZOR ODİN DB;1;0;0;0;0.0;0.0
UMUT DOLU KG K;1;1;0;0;100.0;100.0
ALBASTI TAY KG K;1;0;1;0;0.0;100.0
ADALAR KG K;1;0;0;1;0.0;100.0
YAĞMURCUM K;1;0;0;0;0.0;0.0
ESRİN HATUN SKG SK;1;0;0;0;0.0;0.0
MÜŞKÜLPESENT KG K;1;0;0;0;0.0;0.0
REFİYE KG SK;1;0;0;0;0.0;0.0
ESTEL SK;1;0;0;0;0.0;0.0
AHSURBİKE KG SK;1;0;0;0;0.0;0.0
AYSEL HANIM KG SK;1;0;0;0;0.0;0.0
İCLAL BİKE KG SK;1;0;0;0;0.0;0.0
SITAR OF AKTAŞ KG DB SK;1;0;0;0;0.0;0.0
İVECEN KG DB SK;1;0;0;0;0.0;0.0
ATİLLABEY KG DB;1;1;0;0;100.0;100.0
KRALKARINCA K DB;1;0;1;0;0.0;100.0
JAFAR KG DB SK;1;0;0;1;0.0;100.0
ASLAN YAĞIZ KG K;1;0;0;0;0.0;0.0
EFLAH KG DB;1;0;0;0;0.0;0.0
DAŞ FATİH KG SK;1;0;0;0;0.0;0.0
KARİZMATİK SK;1;0;0;0;0.0;0.0
METİNCİM DB SK;1;0;0;0;0.0;0.0
SAADIN KASIRGASI KG DB;1;0;0;0;0.0;0.0
ALMUTANABİY KG;1;0;0;0;0.0;0.0
ÖZÜDOĞRU KG DB;1;0;0;0;0.0;0.0
GÜROBASI DB SKG SK;1;0;0;0;0.0;0.0
LOWER SPIRIT K;1;1;0;0;100.0;100.0
MR CİNO SK;1;0;1;0;0.0;100.0
BULL MAN KG DB SK;1;0;0;1;0.0;100.0
LOST TREASURE DB SKG SK;1;0;0;0;0.0;0.0
ALAKONT K;1;0;0;0;0.0;0.0
FLASH OVER DB SK;1;0;0;0;0.0;0.0
ÖZGÜNBERK KG DB;1;1;0;0;100.0;100.0
UZUNKÖPRÜ KG DB;1;0;1;0;0.0;100.0
KIZGIN YÜREK KG SK;1;0;0;1;0.0;100.0
FATİH ŞAH;1;0;0;0;0.0;0.0
TUTKUNLAR KG;1;0;0;0;0.0;0.0
MANDAR ABBAS DB SKG SK;1;0;0;0;0.0;0.0
EL ÇİÇEĞİ KG DB SK GKR;1;0;0;0;0.0;0.0
TUNÇYILMAZ KG DB SK;1;0;0;0;0.0;0.0
KURUÇAY DB SKG SK;1;0;0;0;0.0;0.0
YAZASLANI K;1;0;0;0;0.0;0.0
ALTAYBORA K;1;0;0;0;0.0;0.0
START UP K;1;1;0;0;100.0;100.0
TOUCH THE CLOUD;1;0;1;0;0.0;100.0
NOBLE PRINCESS K;1;0;0;1;0.0;100.0
BLACK RUBY;1;0;0;0;0.0;0.0
ACAR TAY KG DB SK;1;0;0;0;0.0;0.0
ASRA İNAT K;1;0;0;0;0.0;0.0
